Time,Amplitude
0,37.7019
1,37.70191
2,37.70207
3,37.70145
4,37.70149
5,37.70205
6,37.70158
7,37.70143
8,37.70143
9,37.70176
10,37.70154
11,37.70119
12,37.70102
13,37.70136
14,37.70169
15,37.70138
16,37.70138
17,37.70109
18,37.70117
19,37.70144
20,37.70157
21,37.70104
22,37.70083
23,37.70066
24,37.70111
25,37.70104
26,37.70071
27,37.70053
28,37.70077
29,37.70083
30,37.70092
31,37.70033
32,37.70024
33,37.70066
34,37.70045
35,37.70003
36,37.70043
37,37.70013
38,37.7004
39,37.70054
40,37.70127
41,37.70162
42,37.70234
43,37.70344
44,37.70506
45,37.70618
46,37.70732
47,37.70973
48,37.7115
49,37.71384
50,37.71618
51,37.71712
52,37.72048
53,37.7218
54,37.72561
55,37.72735
56,37.73047
57,37.73186
58,37.73356
59,37.73682
60,37.73865
61,37.74129
62,37.74278
63,37.74399
64,37.74669
65,37.74797
66,37.75033
67,37.75205
68,37.7532
69,37.75527
70,37.75654
71,37.75825
72,37.75923
73,37.75989
74,37.7625
75,37.76308
76,37.76483
77,37.76544
78,37.76708
79,37.76813
80,37.7685
81,37.77057
82,37.77061
83,37.77182
84,37.77246
85,37.77313
86,37.77455
87,37.77459
88,37.77618
89,37.7763
90,37.77706
91,37.77773
92,37.778
93,37.77884
94,37.77937
95,37.77979
96,37.78052
97,37.78077
98,37.78141
99,37.78181
100,37.7821
101,37.78277
102,37.78303
103,37.78351
104,37.78373
105,37.78447
106,37.78438
107,37.78455
108,37.78529
109,37.78489
110,37.78568
111,37.78569
112,37.78577
113,37.78592
114,37.78647
115,37.78658
116,37.78728
117,37.78698
118,37.78725
119,37.78711
120,37.78729
121,37.78773
122,37.78758
123,37.78776
124,37.78764
125,37.78818
126,37.78795
127,37.78759
128,37.78773
129,37.788
130,37.78834
131,37.78808
132,37.7883
133,37.78795
134,37.78803
135,37.78841
136,37.78805
137,37.78837
138,37.78803
139,37.7882
140,37.78826
141,37.78837
142,37.78825
143,37.78834
144,37.78846
145,37.78771
146,37.78789
147,37.78776
148,37.78772
149,37.78794
150,37.78734
151,37.78747
152,37.78781
153,37.78746
154,37.78726
155,37.78725
156,37.78714
157,37.78731
158,37.78716
159,37.78689
160,37.78701
161,37.78687
162,37.78648
163,37.78678
164,37.78657
165,37.78613
166,37.78646
167,37.78635
168,37.78613
169,37.78526
170,37.78602
171,37.78584
172,37.78572
173,37.7851
174,37.78555
175,37.78516
176,37.78496
177,37.78484
178,37.78469
179,37.78471
180,37.78429
181,37.78439
182,37.78389
183,37.78362
184,37.78399
185,37.78398
186,37.7835
187,37.78304
188,37.78348
189,37.78337
190,37.78321
191,37.78264
192,37.78277
193,37.78263
194,37.78222
195,37.78252
196,37.78233
197,37.78195
198,37.78182
199,37.78177
200,37.78108
201,37.78124
202,37.78126
203,37.78089
204,37.78105
205,37.78043
206,37.78078
207,37.78045
208,37.78003
209,37.77993
210,37.77989
211,37.77992
212,37.77945
213,37.77961
214,37.77921
215,37.77928
216,37.77887
217,37.77882
218,37.7786
219,37.77894
220,37.77786
221,37.77832
222,37.77789
223,37.77779
224,37.77754
225,37.77737
226,37.77768
227,37.77742
228,37.77737
229,37.77727
230,37.7768
231,37.77611
232,37.77642
233,37.77637
234,37.77604
235,37.77631
236,37.7759
237,37.77574
238,37.77516
239,37.77493
240,37.77513
241,37.775
