Time,Amplitude
0,37.33146
1,37.33145
2,37.33176
3,37.3317
4,37.33115
5,37.33131
6,37.3312
7,37.33131
8,37.3313
9,37.33088
10,37.33091
11,37.33089
12,37.33106
13,37.33103
14,37.33067
15,37.33062
16,37.33077
17,37.33075
18,37.33082
19,37.3304
20,37.33076
21,37.33052
22,37.3304
23,37.33008
24,37.32993
25,37.3303
26,37.33004
27,37.32964
28,37.32974
29,37.33014
30,37.32964
31,37.32971
32,37.3295
33,37.32947
34,37.32919
35,37.32909
36,37.32888
37,37.32908
38,37.32917
39,37.32981
40,37.3304
41,37.33035
42,37.33131
43,37.33322
44,37.33388
45,37.3362
46,37.33743
47,37.33881
48,37.342
49,37.3438
50,37.34724
51,37.34874
52,37.35092
53,37.35449
54,37.35653
55,37.36007
56,37.36197
57,37.36321
58,37.36737
59,37.36888
60,37.37214
61,37.37378
62,37.37673
63,37.3781
64,37.37918
65,37.38235
66,37.38337
67,37.38612
68,37.38744
69,37.38892
70,37.39099
71,37.39232
72,37.39455
73,37.39496
74,37.39585
75,37.398
76,37.39906
77,37.4001
78,37.40126
79,37.40203
80,37.40357
81,37.40431
82,37.40532
83,37.40693
84,37.40756
85,37.40834
86,37.40839
87,37.41033
88,37.4105
89,37.41149
90,37.41207
91,37.41256
92,37.4131
93,37.41388
94,37.41459
95,37.41505
96,37.41511
97,37.41631
98,37.41646
99,37.41729
100,37.41739
101,37.41814
102,37.41782
103,37.41847
104,37.41941
105,37.41916
106,37.41958
107,37.41967
108,37.4201
109,37.42058
110,37.42056
111,37.42042
112,37.4209
113,37.4208
114,37.42118
115,37.42122
116,37.42128
117,37.42198
118,37.42201
119,37.42166
120,37.42213
121,37.42206
122,37.42211
123,37.42205
124,37.42256
125,37.42181
126,37.42255
127,37.42241
128,37.42218
129,37.42238
130,37.4221
131,37.42255
132,37.42256
133,37.42219
134,37.42204
135,37.42265
136,37.42218
137,37.42228
138,37.42217
139,37.42189
140,37.42186
141,37.42196
142,37.42198
143,37.42146
144,37.42175
145,37.42147
146,37.42133
147,37.42164
148,37.42097
149,37.42088
150,37.42118
151,37.4211
152,37.42063
153,37.42041
154,37.42027
155,37.42057
156,37.42035
157,37.42004
158,37.41981
159,37.42022
160,37.42014
161,37.41931
162,37.41955
163,37.41923
164,37.41899
165,37.41903
166,37.4188
167,37.41851
168,37.41851
169,37.41856
170,37.41821
171,37.41806
172,37.41822
173,37.41747
174,37.41757
175,37.41751
176,37.41731
177,37.41679
178,37.41695
179,37.41689
180,37.41698
181,37.41661
182,37.4163
183,37.41582
184,37.41581
185,37.41568
186,37.41567
187,37.41514
188,37.41514
189,37.41513
190,37.41449
191,37.41463
192,37.41383
193,37.41371
194,37.41377
195,37.41362
196,37.4136
197,37.41326
198,37.41332
199,37.41285
200,37.41254
201,37.41248
202,37.41204
203,37.41201
204,37.41162
205,37.41157
206,37.41204
207,37.41147
208,37.41101
209,37.41065
210,37.41065
211,37.41
212,37.41038
213,37.41001
214,37.40941
215,37.40946
216,37.40939
217,37.40909
218,37.40887
219,37.40875
220,37.4084
221,37.40827
222,37.40829
223,37.40771
224,37.40746
225,37.40731
226,37.40719
227,37.40725
228,37.40651
229,37.40662
230,37.40617
231,37.4058
232,37.40577
233,37.40593
234,37.40509
235,37.40552
236,37.40508
237,37.40494
238,37.40443
239,37.40459
240,37.40454
241,37.40429
